,count_all,freq%_all,count_nfl,freq%_nfl,count_epl,freq%_epl
thanks,621.0,0.050193986420950534,,,342.0,0.06343906510851419
defensive,618.0,0.04995150339476237,544.0,0.07792579859618966,,
tom,607.0,0.049062398965405755,600.0,0.08594757198109153,,
2nd,606.0,0.0489815712900097,514.0,0.07362841999713508,,
high,605.0,0.04890074361461364,488.0,0.06990402521128779,,
different,605.0,0.04890074361461364,,,195.0,0.036171396772398445
picks,605.0,0.04890074361461364,592.0,0.08480160435467698,,
average,604.0,0.04881991593921759,516.0,0.07391491190373872,,
home,604.0,0.04881991593921759,,,205.0,0.038026340196624
broncos,599.0,0.04841577756223731,599.0,0.08580432602778972,,
times,597.0,0.0482541222114452,,,157.0,0.02912261176034131
pl,596.0,0.04817329453604914,,,596.0,0.11055462808384345
today,595.0,0.04809246686065309,,,266.0,0.049341495084399924
wins,594.0,0.048011639185257034,471.0,0.06746884400515686,,
2017,594.0,0.048011639185257034,541.0,0.0774960607362842,,
thing,591.0,0.04776915615906886,,,175.0,0.03246150992394732
mahomes,590.0,0.04768832848367281,590.0,0.08451511244807335,,
went,587.0,0.04744584545748464,491.0,0.07033376307119324,,
brees,585.0,0.047284190106692534,585.0,0.08379888268156424,,
list,583.0,0.04712253475590042,504.0,0.07219596046411689,,
gets,583.0,0.04712253475590042,442.0,0.0633147113594041,,
texans,581.0,0.04696087940510831,580.0,0.08308265291505515,,
2020,576.0,0.04655674102812803,,,,
plays,575.0,0.046475913352731976,502.0,0.07190946855751325,,
doesnt,575.0,0.046475913352731976,,,,
little,574.0,0.04639508567733592,,,,
didnt,571.0,0.046152602651147755,457.0,0.06546340065893139,,
18,,,,,158.0,0.029308106102763867
19,,,,,181.0,0.033574475978482655
aaron,,,473.0,0.06775533591176049,,
able,,,,,169.0,0.031348543869411986
american,,,,,333.0,0.06176961602671119
aston,,,,,184.0,0.034130959005750326
beat,,,481.0,0.06890130353817504,,
bengals,,,464.0,0.06646612233204412,,
bit,,,,,199.0,0.036913374142088666
brighton,,,,,248.0,0.04600259692079391
burnley,,,,,188.0,0.03487293637544055
cap,,,446.0,0.06388769517261138,,
cardinals,,,539.0,0.07720956882968057,,
champions,,,,,381.0,0.07067334446299388
college,,,443.0,0.06345795731270591,,
crystal,,,,,167.0,0.03097755518456687
cup,,,,,335.0,0.062140604711556295
current,,,,,172.0,0.03190502689667965
currently,,,,,157.0,0.02912261176034131
doing,,,,,237.0,0.0439621591541458
dolphins,,,555.0,0.07950150408250967,,
england,,,,,250.0,0.04637358560563903
english,,,,,352.0,0.06529400853273976
epl,,,,,422.0,0.07827861250231868
europa,,,,,160.0,0.029679094787608978
european,,,,,188.0,0.03487293637544055
everton,,,,,454.0,0.08421443145984048
fa,,,,,200.0,0.03709886848451122
falcons,,,557.0,0.0797879959891133,,
final,,,,,197.0,0.03654238545724355
finish,,,,,156.0,0.028937117417918753
follow,,,,,197.0,0.03654238545724355
form,,,,,189.0,0.035058430717863104
franchise,,,476.0,0.06818507377166595,,
fulham,,,,,219.0,0.04062326099053979
given,,,,,186.0,0.03450194769059544
goals,,,,,472.0,0.08755332962344649
half,,,,,189.0,0.035058430717863104
ham,,,,,320.0,0.059358189575217955
hard,,,,,160.0,0.029679094787608978
head,,,491.0,0.07033376307119324,,
hey,,,,,157.0,0.02912261176034131
hi,,,,,170.0,0.031534038211834536
id,,,,,161.0,0.029864589130031535
injury,,,445.0,0.06374444921930955,,
interested,,,,,195.0,0.036171396772398445
jaguars,,,447.0,0.06403094112591319,,
jones,,,485.0,0.06947428735138232,,
kane,,,,,174.0,0.032276015581524764
leagues,,,,,223.0,0.04136523836023001
leeds,,,,,240.0,0.044518642181413465
leicester,,,,,422.0,0.07827861250231868
lions,,,547.0,0.07835553645609511,,
live,,,,,242.0,0.04488963086625858
london,,,,,213.0,0.03951029493600445
manager,,,,,268.0,0.04971248376924504
manning,,,510.0,0.0730554361839278,,
matches,,,,,337.0,0.06251159339640142
money,,,,,227.0,0.04210721572992024
newcastle,,,,,305.0,0.056575774438879615
offensive,,,549.0,0.07864202836269875,,
offside,,,,,172.0,0.03190502689667965
old,,,,,188.0,0.03487293637544055
opinion,,,,,228.0,0.042292710072342796
overall,,,494.0,0.07076350093109869,,
palace,,,,,245.0,0.04544611389352625
panthers,,,507.0,0.07262569832402235,,
passing,,,471.0,0.06746884400515686,,
penalty,,,,,188.0,0.03487293637544055
place,,,,,253.0,0.0469300686329067
poll,,,,,218.0,0.040437766648117233
predictions,,,,,153.0,0.028380634390651086
prem,,,,,240.0,0.044518642181413465
quarterback,,,467.0,0.06689586019194958,,
rb,,,496.0,0.07104999283770233,,
